ID фильма,Имя пользователя,ID пользователя,Дата и время отзыва,Полярность отзыва,Подзаголовок отзыва,Отзыв,Оценка из отзыва,Полезность отзыва,Прямая ссылка на отзыв
339,komisar.jeber,63366919,23 февраля 2022 15:18,good,Знакомство с Индианой Джонс в 2022.,"Спустя более 40 лет после выхода данного фильма я впервые его посмотрел. Ранее видел множество фрагментов из него и кучу отсылок. Так каково же это - впервые посмотреть приключения Индианы Джонс в 2022 году?<p>Даже спустя 41 год после премьеры, фильм смотрится довольно прилично. Главные его достоинства это экшен и главный герой, хотя искушенному кинолюбителю этого может показаться мало. Фильм смотрится практически на одном дыхании. Экшен изобретательный и снят отлично, а для 81 года просто невообразимо. Его в фильме более чем достаточно, иногда от него даже можно устать, хоть кино и динамичное.<p>Сам Индиана Джонс в исполнении Харисона Форда получился то что надо, однако на сегодняшний день он выглядит весьма типично и подобных персонажей в кинохронике уже немало. Все же это не умаляет заслуг создателей и актер в этой роли смотрится превосходно. Кого-то другого на его месте представить сложно.<p>Отдельно хочется выделить Карен Ален и ее персонажа в частности. Для стандартной девушки в беде смотрится очень органично и практически никогда не раздражает, персонаж вышел живым и несмотря на заранее уготованную участь вполне самостоятельным и инициативным.<p>Теперь о недостатках. Основные из них это главный злодей, реализм и логика сюжета в некоторых местах. Если второе и третье достаточно привычно видеть практически в любом боевике или приключенческом фильме, и вопросы 'Как? Зачем? Почему? Какой в этом смысл?' тут лучше не задавать.<p>Антагонист. Вот он-то получился совсем никакой - незапоминающийся, непугающий, не внушающий интриги и даже неинтересный, актер выбран странно и вызывает скорее смех.<p>В целом фильм рекомендовал бы тем кто хочет поностальгировать и ознакомиться с культурным наследием кинематографа. Современный искушенный киноман вряд ли найдет для себя что-то новое.<p>7 из 10",7 из 10,1 / 0,https://www.kinopoisk.ru/user/63366919/comment/3128202/
339,Xiphactinus audax,5973976,12 января 2022 01:00,good,"Главное — не цель, а то, что случается по пути к ней","Стивен Спилберг и Джордж Лукас, отдыхая однажды на курорте, придумали и воплотили такого искателя приключений, который прославился в десятилетиях, а возможно, что и в веках, судя по тому, что слава Индианы Джонса до сих пор не утихает. Но знаете, что иронично? В оригинальном названии имя главного героя отсутствует. «Охотники за утраченным ковчегом» — вот, как называется этот фильм.<p>Приключенческий дух пронизывает этот фильм от начала и до конца. Исторически сложилось, что приключения почти всегда переплетаются с путешествиями, а также с исследованиями. Поэтому мистер Джонс — археолог. И чтобы сразу расставить все точки над «i», следует заметить, что от достоверности «Охотники» далеки весьма сильно. Археологи наверняка подметят много наигранных нюансов, когда события происходят в древних постройках, а историки обязательно увидят в кадре предметы, которых на самом деле не было в 1936 году. Но это фильм о приключениях, а не исторических событиях.<p>Он носит шляпу, при нём всегда пистолет и хлыст. Таков он — Индиана Джонс, которого играет любимец зрителей Харрисон Форд. Всезнающий археолог и смекалистый исследователь, по характеру Джонс ироничен и немного Дон Жуан. Говоря коротко, он архетипичный отчаянный малый. Любящий своё дело. А у таких людей всегда имеются конкуренты. К типичной истории о поисках сокровищ приплетены нацисты, желающие (как и в реальной жизни) захватить весь мир. Скорее всего идея добавить нацистов принадлежит Лукасу, который и в «Звёздных войнах» противопоставил милитаризованную империю главным героям. Хотя если учесть, что Спилберг еврейского происхождения, он и сам мог настоять на этой детали. Первый фильм об Индиане Джонсе, таким образом, несёт в себе мораль о том, что если ты ненавидишь людей по признаку расы, национальности и цвету кожи, то даже в таком безобидном (на первый взгляд) деле как археология тебе не улыбнётся удача, и алчность сыграет с тобой злую шутку.<p>Не являясь специалистом в видеоиграх, я всё-же предположу, что именно из этого фильма создатели Майнкрафта заимствовали песок душ. Эта творческая идея переплетается с иудо-христианскими верованиями и неплохо вписывается в экзотику Египта, где ведутся раскопки. А гигантский круглый камень из затерянного города тоже попал в некоторые игры.<p>Тем не менее, кое-чего этой ленте не хватает. Декорации древних городов. В 1977 году вышел фильм «Синдбад и Глаз Тигра», в котором нам показали целый континент с пирамидой, и всё это при явно меньшем бюджете. В «Охотниках за ковчегом» акцент больше на активных действиях. Вероятно, Лукас и Спилберг это понимали, поэтому пригласили на съёмки квалифицированных операторов. В результате многие сцены даже сейчас выглядят превосходно. А что касается музыки, то Джон Уильямс легко узнаётся благодаря некоторым схожим ноткам с теми же «Звёздными войнами». Спилберг, Лукас и Уильямс — трио наиболее популярных и прославленных участников киноиндустрии последней трети XX века. И их наиболее весёлый совместный проект — франшиза об Индиане Джонсе, для которого «Утраченный ковчег» стал лишь началом...<p>8 из 10",8 из 10,2 / 1,https://www.kinopoisk.ru/user/5973976/comment/3114351/
339,ars-projdakov,426194,29 октября 2020 21:54,good,,"В детстве многие мечтали о приключениях по миру, быть в погоне за какими-нибудь бесценными сокровищами, либо великими тайнами, разгадка которых может навсегда изменить мировосприятие. В этом ключе сразу приходит на ум учёный-археолог и персонаж знаменитой серии фильмов Индиана Джонс. Конечно, кто-то скажет: «Ну чего нового можно сказать об этом герое?». Однако, правда такова, что даже по прошествии почти сорока лет фильмы о приключениях этого персонажа не утратили былую популярность. Почему? Я попытаюсь разобраться с обзора первой части «Индиана Джонс: В поисках утраченного ковчега».<p>Синопсис Известный учёный-археолог и специалист по оккультным наукам доктор Индиана Джонс получает важное задание от военной разведки США, которая поручает ему найти ученого Абнера Рэйвенвуда, бывшего наставника самого Джонса. Разведка подозревает, что Рэйвенвуд вступил в сговор с нацистской Германией, однако, Индиана считает, что причина кроется в таинственном медальоне, который должен храниться у Абнера и который способен привести к местоположению Ковчега Завета – таинственного артефакта, способной сделать непобедимой любого, кто им завладеет.<p>Игра актёров Кто смотрел «В поисках утраченного ковчега», согласятся, что фильм по большому счету носит развлекательный характер. Этому поспособствовали задействованные в нем актеры, которые воплотили знакомые образы, присущие для фильмов подобного плана. Индиана Джонс в исполнении Харрисона Форда – с одной стороны, это талантливый учёный, отличающийся аналитическим складом ума, а с другой, настоящий секс-символ Голливуда, мускулистый герой, способный вступить в ожесточенную схватку с любым противником. Мэрион Рэйвенвуд (дочка того самого Абера) в исполнении Карен Аллен – это классический образ «женщины с со стальными яйцами», в которой одновременно сочетаются элегантность кокетливой леди и хабалистость уличной пацанки. Проходить по игре других актёров особого смысла не имеет, поскольку зритель увидит знакомые гиперболизированные или карикатурные образы жестоких нацистов или подлых учёных-конкурентов, несущих в себе вспомогательные функции для создания особой фабулы киноленты.<p>Режиссура Для нашего времени Стивен Спилберг – это уже, скорее, имя нарицательное. Но когда-то и он только-только прокладывал себе путь за счет создания подобных кинолент, впоследствии завоевавших море поклонников. За что же даже новые поколения так любят Индиану Джонса? Дело в том, что в каждой своей картине Спилберг выстраивает фирменную именно для данного фильма атмосферу. В случае с «Утраченным ковчегом» мы видим мир глазами учёного-археолога и искателя приключений, который живёт в условиях последних веяний своего времени. Назревает война, Третий Рейх наращивает военные мускулы и не скупится даже на самые одиозные и абсурдные попытки заполучить такую мощь, которая позволила бы ему стать непобедимым противником.<p>Вообще существует множество гипотез и теорий об участии нацистов в мистических экспериментах и археологических раскопках с целью определения местонахождения или овладения силами тех или иных оккультных предметов, при помощи которых они бы действительно стали бы сверхлюдьми. Собственно эта идея лежит в основе Индианы Джонса, который, полагаясь на помощь своих друзей, вступит в схватку с Вермахтом, чтобы не позволить немцам заполучить Ковчег Завета.<p>Помимо тематики стоит вспомнить то, как именно был снят сам фильм. Имеется в виду, что «Индиана Джонс: В поисках утраченного ковчега» - это типичный американский боевик, где герои совершают нечеловеческие виражи и трюки, при этом не просто остаются в живых, но невредимыми. Взять хотя бы десятиминутную сцену с автомобильной погоней, когда Индиана Джонс зацепился хлыстом за дно грузовика, мчащегося на всех парах по грунтовке, и волочась по острым камням и песку сумел доползти до кузова и без проблем взобраться на него. Однако с учетом того, что здесь хватает религиозной мистики с вершащими правосудие ангелами смерти, особо удивляться не стоит, потому что именно за это зрители так любят этот фильм.<p>Сценарий Действие сюжета разворачивается в 1936 году, за три года до начала войны. После неудачной попытки завладения древним индейским артефактом в Южной Америке Индиана Джонс получает задания от самой военной разведки США. Прибывшие агенты утверждают, что бывший коллега и наставник Индианы Абнер Рэйвенвуд вступил в сговор нацистами, которые с его помощью хотят найти древний таинственный артефакт. Хотя Индиана когда-то и поссорился с Абнером, он отказывается верить в предательство наставника и понимает, что причиной, по которой к нему пристали нацисты, стал древний медальон, при помощи которого можно найти местоположение Ковчега Завета – той самой святыни, в которой хранились Каменные Скрижали с Десятью Заповедями. Считается, что тот, кто завладеет Ковчегом, завладеет спрятанной в нем божественной силой, а следовательно, станет подобен Богу. С одной стороны, для Индианы важно пресечь попытки нацистов добраться до ковчега, с другой, будучи археологом до мозга костей, он сам хочет найти святыню первым. В итоге Джонс временно оставляет преподавательскую практику и отправляется в Непал, где живет дочь Абнера Мэрион, с которой у Инди когда-то был роман. Но тут для героев начинаются проблемы, потому что сюда вмешиваются солдаты вермахта и приспешники Гитлера, готовые пойти на любой гнусный и аморальный поступок, лишь бы не позволить Индиане добраться до ковчега первым.<p>Итог Итак, почему же «Индиана Джонс: В поисках утраченного ковчега» не утратил былой популярности и, более того, стабильно сохраняет ее даже у новых поколений? На мой взгляд, в какой-то степени этот фильм можно буквально назвать идеальной приключенческой кинолентой. Здесь есть все необходимые составляющие: увлекательный сюжет, завораживающая атмосфера, будоражащая хоррор-мистика с элементами фэнтези, романтика, экшен и идеальная концовка, в которой добрые одерживают победу, а злые жестоко получают по заслугам. Поэтому кто не видел, не теряем время и наслаждаемся просмотром.",N/A,6 / 2,https://www.kinopoisk.ru/user/426194/comment/2960645/
339,Владимир Кирк,44080109,10 февраля 2020 16:51,good,"Куртка, шляпа и кнут - вот мои документы","'Индиана Джонс: В поисках утраченного Ковчега' - классика приключенческого кино, положившая начало целой франшизе и вдохновившая многие другие известные приключенческие тайтлы вроде 'Tomb Raider'.<p>Не вижу особого смысла сейчас распинаться по поводу сюжета - думаю, все и так все знают. Доктора Индиану Джонса вербуют ЦРУ с целью поиска древнего библейского артефакта - Ковчега, где хранятся оригинальные десять заповедей. И как будто бы это задание само по себе недостаточно сложное, так еще и нацисты висят на хвосте у знаменитого археолога - фюрер тоже хочет заполучить оккультный могущественный предмет. И выливается все это в отличное приключение с погонями, драками и прочими радостями жизни.<p>Фильм может похвастаться отличной атмосферой, динамичным повествованием и неплохим юмором. Лента смотрится буквально на одном дыхании, а особый колорит придает потрясающая музыка Джона Уильямса. Заглавная тема 'Индианы Джонса' - одна из наиболее узнаваемых мелодий среди саундтреков, и заслуженно, в ней чувствуется дух приключений, авантюризма и какого-то задора. Потрясающая работа.<p>Ну и конечно - Индиана Джонс не был бы собой, если бы не Харрисон Форд. Культовая роль знаменитого актера, которая, наравне с образом Хана Соло, принесла ему огромную популярность и любовь фанатов.<p>Пусть сейчас 'В поисках утраченного Ковчега' местами смотрится уже устаревшим, а драки порой выглядят очень забавными - все же это Классика, с большой буквы. С удовольствием периодически пересматриваю этот замечательный фильм, чего и вам желаю.",N/A,3 / 3,https://www.kinopoisk.ru/user/44080109/comment/2877662/
339,nikitla17logunov,34021124,23 сентября 2019 00:02,good,В поисках не утраченного прародителя приключений,"Если кого-нибудь спросить: какой фильм является синонимом слова «приключение», то похождения знаменитого археолога непременно станут ответом.<p> Вдохновившись старыми ТВ-шоу 1930-х гг, восходящие кудесники кино Стивен Спилберг и Джордж Лукас, после съёмок «Близких контактов третьей степени» и «Звёздных войн» соответственно, создали образ любителя «на свою задницу» приключений Индиану Смита (позднее Джонса). Сами съёмки под стать тематике фильма были не менее насыщенными и наполненными разными ситуациями (от погодных условий до диареи среди членов съёмочной группы). В итоге перед зрителями предстала уникальная картина, после премьеры которой Инди стал этаким новым супергероем для огромной аудитории, который завоевал первые строчки многих кинорейтингов.<p> Сюжет: Завязка довольно-таки проста: знаменитый археолог доктор Индиана Джонс (или просто Инди) должен отыскать мистический Ковчег Завета, параллельно обходя смертоносные ловушки и опережая не менее смертоносных нацистов. Несмотря на его не замысловатость, повествование раскрывает все нужные детали (легенда макгаффина, мотивации персонажей и их поступки). Сюжет плавно перетекает из точки А в точку Б, не скатываясь в крупные несостыковки (хотя иногда они тоже проскакивают) и не наскучивая, а даже, наоборот, увлекая зрителя. Неудивительно, что данная фабула станет эталонной в жанре приключений.<p> Персонажи: Здесь они играют главную роль в сюжете. Несомненно, больше всего внимания берёт на себя Индиана Джонс (Харрисон Форд). Харизматичный, обаятельный, умный (достаточно вспомнить культовую сцену поединка)-все эти качества делают героя, который не оставляет никого равнодушным. Оставшиеся персонажи не уступают ему в крутости: боевая подруга-возлюбленная Мэрион (Каррен Аллен), добродушный помощник Саллах (Джон Рис-Дэвис), а также непримечательный на вид Маркус (Денхольм Эллиот) врезается в память. Веришь химии между ними: от чувств любви до ненависти. Придраться можно только к злодеям. Да, археолог-конкурент Белллок (Пол Фримен) с нацистами достойны внимания, но не дотягивают.<p> Атмосфера: Данный фильм можно назвать одним большим приключением, которое, словно аттракцион мечты, заставит зрителей почувствовать где-то восторг от красивых пейзажей и экшен-сцен, где-то смех за годный юмор и даже где-то страх в определённых моментах. И, что самое главное, возникает желание повторить пройденное заново.<p> Визуал: Зная в каких руках создавалось это прекрасное полотно, можно сказать, что мастера съёмочной площадки своё дело знают. Как уже было сказано, в картине есть чудесная география (Южная Америка, Египет, Непал), крутые экшен-сцены, в некоторых из них Форд сам исполнял вживую. Смесь натуральных съёмок и спецэффектов создают размах для грядущих событий.<p> Музыка: Джон Уильямс-гений своего дела. Достаточно проиграть первые ноты Raiders March (главная тема фильма), чтобы понять всю прелесть саундтрека, наполненного и бодрыми, и насыщенными мелодиями.<p> «Искатели потерянного ковчега» (так назывался фильм на момент премьеры)-это уникальный и увлекательный эталон приключенческого жанра, которым обязательно заинтересуется любой искушённый зритель (каким бы он не был). Данное творение стало частью поп-культуры, которая часто обращается к нему и цитирует его.<p>9,5 из 10","9,5 из 10",3 / 2,https://www.kinopoisk.ru/user/34021124/comment/2832169/
339,Saffron Burrows,3132144,08 августа 2019 16:14,good,Похитители утраченного ковчега,"— Ты не тот, кого я знала десять лет назад.— Дело не во времени, детка. Дело в пробеге.<p>Вымышленный персонаж Индианы Джонса один из самых ярких и известных в жанре приключенческих фильмов. Лично я с детства хорошо помню все истории этого героя, а именно первое данное кино, на мой взгляд, самое лучшее и любимое. <p>Стивен Спилберг в списке самых талантливых и уважаемых режиссеров в мировом кинематографе, и каждое из его творений в мире кино уникально. Данный фильм режиссер особенно любит, ведь он вложил в него весь свой потенциал. <p>Эта одна из самых кассовых кинолент, и ее успех в свое время был ошеломляющий. Сейчас это кино смотрится с большой ностальгией, а самое интересное, что уже скоро Спилберг выпустит пятый фильм про Индиану спустя столько лет.<p>1930-ые годы. Встречайте археолога и искателя приключений Джонса, чья жизнь невероятна и полна головокружительных миссий. Индиана Джонс получает задание от правительства США - найти невероятное нечто, величайшую святыню еврейского народа Ковчег Завета. Подписавшись на данное дело, Джонс понятия не имел, что фашистский Третий Рейх также охотится за этой уникальной вещицей по приказу самого Гитлера...<p>— Где же мне теперь искать достойного соперника?— Поищи среди олигофренов.<p>Потрясающая, приключенческая история с привкусом фантастики, полная очарования и шарма. Фильм смотрится с большим удовольствием, и для начала 80-ых это безусловно шедевр. Зрителя ждет головокружительное приключение, куча раскрытий тайн, поворотов в сюжете, экшина и конечно обаяния и коронных фраз главного героя. <p>После культовых 'Челюсти' и фильма 'Близкие контакты третьей степени' данное приключенческое кино произвело настоящий фурор. 'Raiders of the Lost Ark' открыл неизведанные, большие масштабы, и уровень кино увеличился, горизонты стали больше. И уже через год зрителей ждало новое творение Спилберга такой же культовый фильм под названием 'Инопланетянин'. <p>Харрисона Форда никогда не любил мой отец, но роль его в данном фильме без сомнений культовая. Форд лицо данной франшизы, и это его самая, самая известная работа. Что интересно, так это то, что фильм получил ряд номинаций и наград от Оскара, Золотого Глобуса, Британской академии, и никто из этих киноассоциаций не выдвинул актера на награду за его игру, хотя других наград у фильма много. Лишь только незаметная кинонаграда Сатурна похвалила своей симпатией Форда. Почему-то вот такой факт.<p>Перед нашим вниманием одно из самых замечательных и отличных приключенческих фильмов на все времена. Если Вы его вдруг не видели, то добро пожаловать, и история Джонса унесет Вас в нечто по-настоящему захватывающее. Ловлю себя на мысли, что каждый раз, когда пересматриваю это кино, замечаю то, чего раньше не видел, разные нюансы, что всегда забавно подмечать. <p>'Индиана Джонс: В поисках утраченного ковчега' - американский, приключенческий боевик 1981 года. Творение Стивена Спилберга без всяких похвал уникально и заслуживает внимания по сей день, как и высокой оценки. <p>— Змеи! И откуда там только змеи?— Ядовитые, это очень опасно. Лезь первым.<p>9 из 10",9 из 10,5 / 2,https://www.kinopoisk.ru/user/3132144/comment/2821143/
339,Gorman995,14878449,23 мая 2019 19:11,neutral,,"Признанная мировая приключенческая классика, во главе которой стоит сколотивший собственное имя на блокбастерах Стивен Спилберг, не могла не иметь успех у тогдашнего зрителя. Оно и понятно - золотые артефакты, экстремальная адвенчура и связанная нацистами красотка, что ещё нужно для классного кинофильма про, практически, супер-героя с хлыстом. Но если начать «копать» чуточку глубже, как это делает и сам герой Харрисона Форда в поиске заветных реликвий, то обнаружится, что под этим налётом эпичности нет ничего существенного. <p>Наш протагонист - профессор археологии. По будням он преподаёт свой «пыльный» предмет юношам и девушкам, а на уик-энд собирается в какой-нибудь Непал, добыть утерянный манускрипт или что-то в этом духе. Тут, конечно, можно ссылаться на исключительно профессиональную страсть и увлечение, но ничего более, касательно мотивации главного персонажа, вы больше не найдёте. Ну, разве что, ради денег герой ложится под пули и дерётся с поливальными шлангами... ну а тогда какой же это герой? Чёрный копатель, не больше. <p>Если же отбросить все саркастические выпады, то картина представляет собой все те фундаментальные моменты в приключенческом жанре. Оно и понятно - «Индиана Джонс», фактически, «отец» данной ниши и за это можно сделать скидку. Но отходя от основного сюжетного направления, можно увидеть слабую проработку характеров персонажей, размытую любовную линию и значительные фактические ляпы. Да, художественная выдумка не возбраняется, но когда дело переходит грани совсем очевидных вещей - это не совсем хорошо. <p>По своей позиции данная картина вполне приемлема. Но если начать рассматривать её как культурный объект, то можно «обжечься» об резкие стелс-экшен сцены и не найти там ничего, кроме преувеличенного героизма и фантастической удачи (сотворенной рукой ностальгирующих по детству сценаристов).<p>6 из 10",6 из 10,5 / 3,https://www.kinopoisk.ru/user/14878449/comment/2800646/
339,Antono_v,6766420,21 марта 2019 23:59,good,Стивен Спилберг в поисках шедевра своего времени.,"Шестью годами ранее, фильмом 'Челюсти' Стивен перевернул всю киноиндустрию, которая нашла свою нишу и напрочь отказывалась идти наперекор имеющимся стандартам. Он же в 93 году задаёт миру новый тренд на спецэффекты и декорации фильмом 'Парк Юрского периода'. Именно в этот промежуток времени между фильмами он выдаёт этот приключенческий боевик, который был обречён на успех, благодаря пустившей Спилбергом и Лукасом волны 'попкорнового' кино. Фильм является абсолютным хитом для своего времени, ставший культовым наравне с 'Челюсти', 'Звездные войны' и 'Парк юрского периода'. А если упустить все нюансы прогресса компьютерной графики, грима и т.д. за 40 лет, то картина всецело может соперничать с современными блокбастерами. <p>Выбор главной роли остановился на знаменитом Харрисоне Форде, который уже тогда заимел репутацию секс-символа и это было правильным решением. Он безошибочно захватывал зрителя своей харизмой, хоть и играл в стандартном для него амплуа, только в этот раз не эгоистичного, а весьма хладнокровного (если не считать змей!) искателя приключений.<p>Голливудские декорации и масштаб экшеновых сцен захватывает дух на протяжении всего фильма, от Спилберга было бы грехом ожидать худшего. Про звук можно и вовсе ничего не говорить. Джон Уильямс, композитор, который и до сих пор не перестаёт нас удивлять очень живыми и драматичными саундтреками к фильмам. Если вы знакомы с фильмографией Спилберга, то понимаете, что благодаря его умению своевременно вставлять аудиодорожки, сцены в фильме воспринимается гораздо интереснее и захватывающе. Да, в наше время этому уже не отдаётся должного внимания, но какой же это был фурор в далёком 81 году. <p>В целом отлично подходит для вечерних посиделок в кругу близких и друзей. Такой фильм никогда на ночь не загрузит дополнительными проблемами, а наоборот позволит расслабиться после трудного дня.<p>Приятного просмотра!)<p>8 из 10.",8 из 10.,1 / 1,https://www.kinopoisk.ru/user/6766420/comment/2781713/
339,TuynyaBroken,3282940,24 октября 2018 00:28,good,Приключения часть один. Найти священный ковчег,"Мне всегда нравились приключенческие фильмы. Поэтому трудно было пройти мимо похождений Индианы Джонса. Ведь там есть все:и драйв, и адреналин, и возможно что-то познавательное.<p>Сюжет<p>Индиана Джонс-археолог, а по совместительству огромный любитель найти приключений себе на пятую точку. Однажды он отправляется в еще одну глубинку, чтобы отыскать священный ковчег. И путь этот будет не так прост.<p>Актеры <p>Индиана в исполнении Харрисона Форда прекрасен. Доктор Джонс обаятелен, смекалист, умен и авантюрин. С ним хочется отправится в путешествие, на поиски сокровищ.<p>Мерион, которую играет Карен Аллен также прекрасна. Эта героиня смелая, умная и неотразимая женщина. Вместе с Джонсом они составляют отличную команду.<p>Злодей в этом фильме хладнокровен и расчетлив и очень отвратителен. <p>Остальные не впечатлили.<p>Графика здесь не особо понадобилась, ведь все снимали на натуре. Для тех лет, это недурно. Хромакей кое-где проглядывался.<p>Итог-Динамичный и увлекательный фильм в жанре Приключения.<p>8 из 10",8 из 10,2 / 1,https://www.kinopoisk.ru/user/3282940/comment/2728292/
